text,intent,intent_label
what should i know about the carry on policy for american,62,carry_on
"if i fly internationally, do brittish airwaiys have carry-on limitations",62,carry_on
what are the rules for carry on luggage for delta,62,carry_on
can i have 3 carry ons with delta at jfk,62,carry_on
how many carry ons are allowed on a flight with wow to iceland,62,carry_on
what are the requirements for carry on on flights with united airlines,62,carry_on
does delta allow more than one carry on when traveling to miami,62,carry_on
could you list out the carry-on restrictions for american airlines,62,carry_on
do i have to pay for carry-ons on delta,62,carry_on
"if i take a flight on pan am to denver, how many carry ons are included",62,carry_on
how many bags can i carry-on for flights on singapore airlines,62,carry_on
how many carry ons can i take on a flight with american airlines to seattle,62,carry_on
"when taking a flight with porter to toronto, how many carry ons can i take",62,carry_on
"on a flight with allegiant to orlando, how many carry ons can i take",62,carry_on
would you let me know the carry-on restrictions for american airlines,62,carry_on
how many carry ons can i take on a flight with delta to mexico city,62,carry_on
what are the carry-on rules,62,carry_on
"when taking a flight with lion to singapore, how many carry ons are allowed",62,carry_on
what are the rules regarding carry-on baggage for flights on virgin airlines,62,carry_on
what's restricted in my carry-on with united,62,carry_on
does jet blue have any carry-on restrictions,62,carry_on
i need to know the carry-on restrictions for united airlines,62,carry_on
how many carry ons will american let me take for a flight to los vegas,62,carry_on
does delta have carry-on restrictions,62,carry_on
how many carry ons can i take on a flight with jet blue to washington dc,62,carry_on
what are the carry-on restrictions for singapore airlines,62,carry_on
tell me the carry on rules,62,carry_on
i am flying jetblue and need to know what the most number of bags are that i can carry on,62,carry_on
am i limited in carry ons for jet blue,62,carry_on
am i allowed carry ons for my flight with westjet to edmonton,62,carry_on
what are the carry-on restrictions for united,62,carry_on
does united airlines allow more than one carry on,62,carry_on
what are the carry-on restrictions for delta,62,carry_on
would you let me know how many carry ons i can take on a flight with southwest airlines to miami,62,carry_on
is there a carry on weight limit,62,carry_on
please find the rules for carry on when flying with spirit airlines,62,carry_on
what are the carry-on restrictions for southwest airlines,62,carry_on
how my carry ons does spirit airlines allow me for a flight to dallas,62,carry_on
can you tell me jet blue airlines' carry on policy,62,carry_on
what is the carry-on policy say for flights on delta airlines,62,carry_on
search for carry on rules for flights on delta airlines,62,carry_on
carry-on restrictions for air emirates,62,carry_on
which rules does delta have for carry on,62,carry_on
tell me the carry-on restrictions for united airlines,62,carry_on
let me know the rules for carry ons for continental,62,carry_on
volume to whisper voice,14,whisper_mode
i want whisper mode to be switched off,14,whisper_mode
let's switch out of whisper mode,14,whisper_mode
i want your setting adjusted to whisper voice now,14,whisper_mode
go into whisper mode now please,14,whisper_mode
turn up your volume,14,whisper_mode
exit out of whisper mode,14,whisper_mode
go back to normal mode please,14,whisper_mode
immediately begin using whisper mode,14,whisper_mode
switch over to whisper,14,whisper_mode
i think we should whisper,14,whisper_mode
turn on the whisper voice,14,whisper_mode
i'm going to need you to be quiet now please,14,whisper_mode
switch to quiet mode,14,whisper_mode
please turn on whisper mode because i am about to be in class,14,whisper_mode
i want whisper mode,14,whisper_mode
"change to whisper mode, please",14,whisper_mode
go into whisper mode now,14,whisper_mode
turn your volume up,14,whisper_mode
"i can't hear you, stop whispering!",14,whisper_mode
shh please speak with a whisper,14,whisper_mode
can you whisper until i tell you not to,14,whisper_mode
i need you to switch to whisper mode,14,whisper_mode
please turn on whisper mode,14,whisper_mode
can you go to the whisper voice,14,whisper_mode
i need your setting switched to whisper mode right away,14,whisper_mode
stop using the whisper mode,14,whisper_mode
please talk quietly,14,whisper_mode
use your quiet voice,14,whisper_mode
whisper from here on out please,14,whisper_mode
switch to whisper mode,14,whisper_mode
turn on your whisper mode,14,whisper_mode
please shut off whisper mode for now,14,whisper_mode
can you please lower the volume please,14,whisper_mode
"switch to whisper mode, please",14,whisper_mode
i want to switch out of whisper mode,14,whisper_mode
i want you to be in whisper mode now because i am in the library,14,whisper_mode
change out of whisper mode,14,whisper_mode
whisper from now on,14,whisper_mode
please speak with the whisper voice,14,whisper_mode
start using whisper mode,14,whisper_mode
please switch to whisper mode for now,14,whisper_mode
let's use whisper voice,14,whisper_mode
6 inch voices please,14,whisper_mode
talk in whisper voice,14,whisper_mode
i decide to switch out of whisper mode,14,whisper_mode
let's start whispering,14,whisper_mode
can you switch to whisper mode,14,whisper_mode
make sure to set yourself to whisper mode before i go to the movie,14,whisper_mode
i want you to use whisper voice now,14,whisper_mode
please send a text,26,text
write text message to someone,26,text
send mom a text asking where are you,26,text
text message chris and say i love you,26,text
send a text to someone,26,text
can you text arthur and tell them im almost there,26,text
text billy and tell him to be at monday's meeting at 3pm,26,text
can you text christopher and tell them im on my way,26,text
send a text message for me,26,text
please send ann a text and tell her i will be home in 20 minutes,26,text
please send a text message to natalie for me,26,text
i want to send a text,26,text
text matt and tell him i will be late tonight,26,text
text my boss for me and tell them i will be a little bit late,26,text
send chris a text message that says stop for milk on your way home,26,text
i have to send a text,26,text
text my dad for me and tell them i love you,26,text
text josh and tell him i need a delivery,26,text
send a text and tell chris i’m not working today,26,text
can you send a text for me,26,text
text my friend for me and tell them to meet me later,26,text
text christopher and tell him i will stop by,26,text
can you text the sgt adam and tell them i found the missing girl,26,text
text a message to alice,26,text
i need you to text someone for me,26,text
i need sal to be texted and say i'll be there,26,text
send a text message to chris and ask what he wants to eat for dinner,26,text
send a text message,26,text
text sal and tell them hi,26,text
text sal and let them know the answer is yes,26,text
compose text message,26,text
text my doctor and tell him it happened again,26,text
write a text to alice,26,text
can you send a text to someone,26,text
let sal know by text i will be attending,26,text
start a new text to maureen and tell her i go mom's christmas present,26,text
create a new text,26,text
text bill and tell him i'll be 30 minutes late,26,text
create a text message to,26,text
set up a new text message,26,text
give a text to my cousin linda that says happy birthday,26,text
text my mom for me and tell them i will be home soon,26,text
text tony and invite him to my party next saturday,26,text
text chris and ask what time he will be home,26,text
text christy and ask her what she wants for dinner,26,text
i have to have a text sent,26,text
text nick and tell him the car's ready,26,text
i need to send a text,26,text
text robby hello,26,text
can you text elizabeth and tell them i forgot to bring drinks,26,text
i need a blackberry pie recipe,104,recipe
find a recipe for german chocolate cake,104,recipe
please find me a recipe for spaghetti now,104,recipe
can you find me a recipe for sugar cookies,104,recipe
i need a recipe on how to make beef stew,104,recipe
i need you to find me a recipe for fried shrimp,104,recipe
what's the best way to make chicken stir fry,104,recipe
can you instruct me on how to make german chocolate cake,104,recipe
please help me with instructions on making chicken curry,104,recipe
how do i make the perfect omelette,104,recipe
how do you make blackberry pie,104,recipe
i need the best recipe for mashed potatoes,104,recipe
can you find me a recipe for pie,104,recipe
search for a macaroni and cheese recipe,104,recipe
i need to know how to make philly cheesesteaks,104,recipe
can you give me a recipe for german chocolate cake,104,recipe
what is a good chili recipe,104,recipe
i need help finding a recipe for enchiladas,104,recipe
how do you create pork chili,104,recipe
please give me instructions on making blueberry pie,104,recipe
is there a good website to teach me how to make sushi,104,recipe
how do i make pumpkin pie,104,recipe
is there a recipe for chili i can use,104,recipe
can you find me a recipe for quiche,104,recipe
how do i make lassagna,104,recipe
what do i need to do to make blackberry pie,104,recipe
can you get me a recipe for mashed potatoes,104,recipe
i need a recipe for chicken pot pie,104,recipe
what is needed you to cook apple pie,104,recipe
can you find me a recipe for honey ham,104,recipe
where can i look to learn to make sushi,104,recipe
i am looking for a vegan friendly italian pasta recipe,104,recipe
what do you need to do to make sushi,104,recipe
how do i make beef stroganoff,104,recipe
i need a quick recipe for spiral ham,104,recipe
can you search for the best new york style cheesecake recipes please,104,recipe
can you find me a recipe for ribs,104,recipe
please show me a recipe for chili,104,recipe
how do you cook apple pie,104,recipe
can you find me a recipe for coffee cakes,104,recipe
tell me how to make chow mein,104,recipe
find a good recipe for meatloaf,104,recipe
how do i make lemon merengue pie,104,recipe
how can i make chicken pot pie,104,recipe
i need a recipe for beef,104,recipe
can you find me a recipe for pasta,104,recipe
can you find me a recipe for salsa,104,recipe
blackberry pie instructions,104,recipe
how do you cook meatloaf,104,recipe
look up easy to follow recipes for beef ribs,104,recipe
please turn my fan on,10,smart_home
please turn the fan on,10,smart_home
can you get the fan going in here,10,smart_home
lock all the doors,10,smart_home
what's the ac set to,10,smart_home
can you lock all the doors in the house,10,smart_home
turn tv on please,10,smart_home
start my vehicle,10,smart_home
remember to lock the doors,10,smart_home
what is the ac temperature,10,smart_home
i need some air; get the fan going,10,smart_home
turn the fan on,10,smart_home
please check the door to see who is there,10,smart_home
light the bedroom lights,10,smart_home
please set the temperature to 70,10,smart_home
put the garage lights on,10,smart_home
make sure all doors are locked,10,smart_home
can you please dim the lights,10,smart_home
make the lights dimmer please,10,smart_home
what temperature is the ac set at,10,smart_home
can you get my car started,10,smart_home
set temperature to 75,10,smart_home
what is the temperature on the ac,10,smart_home
warm up my car for me,10,smart_home
on the lounge lights turn,10,smart_home
make sure the oven is set to 350 please,10,smart_home
will you please get my furnace turned on,10,smart_home
can you turn on the lights in the den,10,smart_home
who is at my front door,10,smart_home
tv on turn,10,smart_home
please start my car,10,smart_home
turn the tv to on right now,10,smart_home
turn the fan on please,10,smart_home
turn on the fan,10,smart_home
what's the persons name at my door,10,smart_home
please get my car started before i go out to it,10,smart_home
who is knocking,10,smart_home
i need my furnace turned on,10,smart_home
please lock every door,10,smart_home
can you look who is at the door,10,smart_home
set the temperature to 78,10,smart_home
can put fan on,10,smart_home
make the temperature 78 in here,10,smart_home
did anyone securely lock the door,10,smart_home
turn the fan to the on position,10,smart_home
can you turn on the lights in the backyard,10,smart_home
lock every door on the property,10,smart_home
turn lights on in my master bathroom,10,smart_home
activate my furnace please,10,smart_home
set the temperaure to 71,10,smart_home
who is your boss,57,who_do_you_work_for
which organization you work for,57,who_do_you_work_for
do you work for me or is that wrong,57,who_do_you_work_for
who directs your labor,57,who_do_you_work_for
who is you employer,57,who_do_you_work_for
do you happen to be employed by me,57,who_do_you_work_for
you work for someone else or no,57,who_do_you_work_for
what is your boss's name,57,who_do_you_work_for
are you here to serve me,57,who_do_you_work_for
who are they that you work for,57,who_do_you_work_for
what entity is your boss,57,who_do_you_work_for
who do yo work for,57,who_do_you_work_for
are you my worker,57,who_do_you_work_for
don't you work for your self,57,who_do_you_work_for
am i your employer,57,who_do_you_work_for
are you employed by someone,57,who_do_you_work_for
what does your boss go by,57,who_do_you_work_for
are you self employed,57,who_do_you_work_for
who do you work for,57,who_do_you_work_for
do you work for anyone else,57,who_do_you_work_for
who tells you what to do,57,who_do_you_work_for
i need to know who is your boss,57,who_do_you_work_for
what is the name of your boss,57,who_do_you_work_for
do you have a boss,57,who_do_you_work_for
who do you report to,57,who_do_you_work_for
are you now working for me,57,who_do_you_work_for
who is in charge of you,57,who_do_you_work_for
you work for what company or person exactly,57,who_do_you_work_for
are you working for me,57,who_do_you_work_for
don't you work for someone else,57,who_do_you_work_for
who pay your salary,57,who_do_you_work_for
am i your supervisor,57,who_do_you_work_for
who would you say you are employed by,57,who_do_you_work_for
am i the one you work for,57,who_do_you_work_for
who else do you work for,57,who_do_you_work_for
who else commands you,57,who_do_you_work_for
is there another company you work for,57,who_do_you_work_for
who do you do task for,57,who_do_you_work_for
who do you function for,57,who_do_you_work_for
do you have another job,57,who_do_you_work_for
let me know who is your boss,57,who_do_you_work_for
who is the boss of you,57,who_do_you_work_for
is there another entity you work for,57,who_do_you_work_for
is there someone else you work for,57,who_do_you_work_for
am i your manager,57,who_do_you_work_for
what organization do you work for,57,who_do_you_work_for
who do you call your boss,57,who_do_you_work_for
who do you job for,57,who_do_you_work_for
are you working for someone else,57,who_do_you_work_for
do you have an employer,57,who_do_you_work_for
what is my citigroup card's rewards balance,50,rewards_balance
how many points are on my gold card,50,rewards_balance
where are rewards from my visa card visible,50,rewards_balance
how many points do i have on my mastercard,50,rewards_balance
i need to find out the rewards points i have left on my american express card,50,rewards_balance
what is the reward balance on my discover card,50,rewards_balance
what's the current reward amount on my visa,50,rewards_balance
i wonder how many points i have earned with my bank of america card,50,rewards_balance
what is the number of points i earned with my mastercard,50,rewards_balance
have i earned a lot of points on my capital one card,50,rewards_balance
how would i be able to check my kohls rewards card,50,rewards_balance
what is my current reward point total on my visa card,50,rewards_balance
how many delta miles are on my card right now,50,rewards_balance
i have how many tier credits on my caesar's card,50,rewards_balance
how many rewards points do i have for my mastercard,50,rewards_balance
what's the reward point count on my discover card,50,rewards_balance
where are my rewards for my chase card,50,rewards_balance
what do i have to do to see my rewards for my chase card,50,rewards_balance
how many points did i get on my visa card,50,rewards_balance
what is the amount of rewards points on my visa card,50,rewards_balance
how do i check how many rewards i have on my master card,50,rewards_balance
how many points have i accumulated on my mastercard,50,rewards_balance
is there a better way to check my visa rewards card balance,50,rewards_balance
what's the balance of my reward points on my discover card,50,rewards_balance
how can i see my rewards for my visa card,50,rewards_balance
what's my visa's current rewards balance,50,rewards_balance
can i check my visa reward balance online,50,rewards_balance
do you know how many rewards points are currently on my discover card,50,rewards_balance
what the current balance of reward points on my mastercard,50,rewards_balance
how high are the rewards on my discover card,50,rewards_balance
how many points did my visa earn,50,rewards_balance
how do i see me rewards for my chase card,50,rewards_balance
what points were earned on my mastercard,50,rewards_balance
how many points have i already accrued on my chase mastercard,50,rewards_balance
add up my reward points for master card,50,rewards_balance
when can i receive rewards on my visa card,50,rewards_balance
help me check my visa rewards card,50,rewards_balance
tell me how to check my rewards for my american express card,50,rewards_balance
how many rewards points do i have for my wells fargo card,50,rewards_balance
how many rewards do i have on my chase card,50,rewards_balance
how many reward points does my discover card have,50,rewards_balance
how many rewards points do i have for my chase card,50,rewards_balance
i need to hear how many points i've obtained on my capital one visa,50,rewards_balance
figure out my reward points for discovery card,50,rewards_balance
what is my points total for my mastercard,50,rewards_balance
does my mastercard have any rewards points remaining,50,rewards_balance
how do i check my rewards for my gold card,50,rewards_balance
can you help me tell what my starbucks rewards balance is,50,rewards_balance
what is the easiest way to check my bank rewards card,50,rewards_balance
how many rewards do i now have on my hy-vee card,50,rewards_balance
can you get me a table for 2 at mexico viejo at 3pm,23,restaurant_reservation
reserve a table for two for 7:30 pm at dibruno's under patrick donoghue,23,restaurant_reservation
you must reserve a table for 4 at red robin under the name kevin at 7,23,restaurant_reservation
i'd like a reservation for 2 at olive garden for 5 pm today,23,restaurant_reservation
i need to make a reservation for 8 pm at red robin for 3,23,restaurant_reservation
i think i need to make a reservation for 8 pm at red robin for 3,23,restaurant_reservation
can you get me a table for 4 at steve's,23,restaurant_reservation
i need you to reserve a table for 6:00 pm for three at devon's seafood,23,restaurant_reservation
"hello, i'd like a reservation for two at the olive garden at six tonight",23,restaurant_reservation
"i think we should reserve dad's regular table friday for 6 people, use his name, make that close to 4:00 pm at the club",23,restaurant_reservation
make a reservation at 5 pm today for 2 at olive garden,23,restaurant_reservation
you have to reserve a table for 4 at red robin under the name kevin at 7,23,restaurant_reservation
book a reservation for 4 at outback steakhouse under the name dave,23,restaurant_reservation
can you get me a table for 6 at johnnys,23,restaurant_reservation
make a reservation for three at prime rib at 6:30 pm,23,restaurant_reservation
i gotta make a reservation for 8 pm at red robin for 3,23,restaurant_reservation
can i make a reservation for 8 pm at red robin for 3,23,restaurant_reservation
please make me a reservation for monty's at noon for 55555,23,restaurant_reservation
please reserve me a table for 2 pm at maxwell's on the 14th,23,restaurant_reservation
"hey computer, make a reservation for 2 for my parents at red lobster on wednseday next, 2:00pm if possible",23,restaurant_reservation
can i make a reservation for 2 at state bird for 8:30,23,restaurant_reservation
make me a reservation for 5 at coral for 10 pm immediately,23,restaurant_reservation
please reserve a table for two at rouge for 7:00 pm,23,restaurant_reservation
can you get me a table for 5 at johnnys,23,restaurant_reservation
reserve a table for 3 at outback steakhouse under the name lance at 7:00pm,23,restaurant_reservation
is it possible to get a table for 4 at the village inn around 10am,23,restaurant_reservation
please make a reservation for us at joy bar for 4 adults,23,restaurant_reservation
can you get me a table for two for 8:00 pm at parc,23,restaurant_reservation
"now, i need a reservation for backwoods crossing at seven for 6 people",23,restaurant_reservation
i would like a reservation for 6:30 pm at pietro's under the name david jones,23,restaurant_reservation
can you get me a table for 1 at the vega at 1pm,23,restaurant_reservation
i need you to reserve a table for 4 at red robin under the name kevin at 7,23,restaurant_reservation
can you book a table at the restaurant for me and my husband,23,restaurant_reservation
i want you to book a reservation for 8 pm at red robin under the name kevin,23,restaurant_reservation
please book a reservation for 8 pm at red robin under the name kevin,23,restaurant_reservation
i want to reserve a table at 8 at long john silver's under the name freddie,23,restaurant_reservation
"can i make a reservation for 2 at state bird for 7:30, please",23,restaurant_reservation
i want to have a table for 2 at the broadmore around 6,23,restaurant_reservation
i want to make a reservation for 8 pm at red robin for 3,23,restaurant_reservation
can i reserve a table for 2 at the olive garden at 8,23,restaurant_reservation
reserve a table for 5 at lawry's under the name steve at 8:00pm,23,restaurant_reservation
book a reservation for 3 at red lobster under the name steve,23,restaurant_reservation
can you get me a table for 8 at johnnys,23,restaurant_reservation
make me a reservation for tomorrow at happys for four,23,restaurant_reservation
book a reservation for 8 pm at red robin under the name kevin,23,restaurant_reservation
"call and make a 5:45 pm reservation for jason rogers, table for four",23,restaurant_reservation
can you make a reservation for me at the restaurant,23,restaurant_reservation
i need you to reserve at table for a party of four at devon's for 6:00 pm,23,restaurant_reservation
reserve a table for 4 at red lobster under the name dave at 7:30pm,23,restaurant_reservation
can you get me a table for 6 at mark's at 11am,23,restaurant_reservation
"i am going to south america, let my bank know",146,travel_notification
i'm going to be in thailand from october 15th until october 23rd,146,travel_notification
inform my bank that i'll be going to europe,146,travel_notification
i let my bank know that i'm traveling to greece from march to april,146,travel_notification
i need to let my bank know that i'll be travelling internationally,146,travel_notification
let me bank know i will be in brazil from june 1st to july 1st,146,travel_notification
"let my bank know that i'll be in moscow, russia",146,travel_notification
im going to be in slovakia from january 16th until january 19th,146,travel_notification
"i am going to asia in a bit, i should tell the bank",146,travel_notification
please tell my bank that i will be traveling abroad,146,travel_notification
how can i tell my bank i'm going to vietnam,146,travel_notification
please let my bank know that i will be in uruguay from january to august,146,travel_notification
notify my bank i'll be in rome from the 1st to the 17th,146,travel_notification
inform my bank i will be travelling to central africa,146,travel_notification
please tell my bank i will be in israel from the 6th to the 23rd,146,travel_notification
im going to be in paraguay from january 7th until january 10th,146,travel_notification
i'm travelling to seattle soon and want to inform my bank,146,travel_notification
can you tell my bank that i'll be travelling internationally soon,146,travel_notification
i'm travelling to spain soon and want to inform my bank,146,travel_notification
alert my bank and let them know that i'm travelling to brussels,146,travel_notification
i'm traveling to fresnosoon and want to inform my bank,146,travel_notification
i need to let my bank know i am traveling to chicago,146,travel_notification
i'm traveling to denmark soon and want to inform my bank,146,travel_notification
please tell the bank i will be traveling internationally,146,travel_notification
how do i inform my bank i'm going to paris,146,travel_notification
can you let my bank know i'll be in uruguay from january to august,146,travel_notification
tell my bank that i'll be in canada this weekend,146,travel_notification
i'm traveling to england soon and want to inform my bank,146,travel_notification
the bank should know i am going to asia soon,146,travel_notification
"from january to august, i will be in uruguay, please let me bank know",146,travel_notification
let my bank know that i'm going to norway between march 3 and march 5,146,travel_notification
i'm traveling to ca soon and want to inform my bank,146,travel_notification
tell my bank that i'm going to france,146,travel_notification
alert my bank and let them know that i'm travelling to stockholm,146,travel_notification
"i will be in uruguay from january to august, please let me bank know",146,travel_notification
please let my bank know that i will be in rome from february 1 to march 1,146,travel_notification
i'm traveling to belgium soon and want to inform my bank,146,travel_notification
i am going out of country and need to inform my bank,146,travel_notification
i'm traveling tony soon and want to inform my bank,146,travel_notification
alert my bank and let them know that i'm travelling to china,146,travel_notification
i'm travelling to boston soon and want to inform my bank,146,travel_notification
inform my bank that i will be in rome from february 1 to march 1,146,travel_notification
im going to be in canada from august 10th until august 12th,146,travel_notification
"i'll be out of the country soon, and want to notify my bank",146,travel_notification
alert my bank and let them know that i'm travelling to switzerland,146,travel_notification
mark down that i will be in rome from february 1 to march 1 and notify my bank,146,travel_notification
i am going out of country and my bank needs to be notified,146,travel_notification
tell my bank i am taking a trip to brazil from june 1st to july 1st,146,travel_notification
how can i let my bank know i'm going to denmark,146,travel_notification
"i'm going to paris soon and want to let my bank know, how do i do that",146,travel_notification
add one by metallica to my playlist,141,update_playlist
please add roar by katy perry to my playlist,141,update_playlist
add a song to my rock playlist,141,update_playlist
i wanna add help! by the beatles to my playlist,141,update_playlist
insert what i am listening to into my jazz playlist,141,update_playlist
new playlist that i will add god's plan to,141,update_playlist
could you insert broken by evanescence to my music,141,update_playlist
add god's plan by drake to my playlist,141,update_playlist
"connect this song to my playlist ""kids",141,update_playlist
add help! by the beatles to my playlist,141,update_playlist
my new playlist well be having god's plan adding to it,141,update_playlist
add this song to my top 40 playlist,141,update_playlist
i wanna add this song to my rock playlist,141,update_playlist
add 7 rings to my pop playlist,141,update_playlist
please add this song to my alternative playlist,141,update_playlist
put this song on my reggae playlist,141,update_playlist
please add someday by the strokes to my playlist,141,update_playlist
"the song that's on, add it to my favorite playlist",141,update_playlist
add walk by pantera to my playlist,141,update_playlist
add the current song to my favorite playlist,141,update_playlist
"put mambo #5 by lou bega on my playlist, please",141,update_playlist
yellow by coldplay to my playlist please,141,update_playlist
this song should be add this on my rock playlist,141,update_playlist
god's plan will be added to my new playlist,141,update_playlist
put dr feelgood by motley crue on my playlist,141,update_playlist
can you please add hero by skillet to my playlist,141,update_playlist
favorite what's currently playing on my playlist,141,update_playlist
add hells bells by acdc to my playlist,141,update_playlist
add mia to my spanish playlist,141,update_playlist
i want to have happy added to my rb playlist,141,update_playlist
add single ladies by beyonce to my pop playlist,141,update_playlist
add baby shark to my kid playlist,141,update_playlist
i need to add this song to my playlist of rock,141,update_playlist
let's add wonder by hillsong united to my playlist,141,update_playlist
please put this song on my moody monday playlist,141,update_playlist
"please add to ""kids"" playlist",141,update_playlist
add what's playing on my favorite playlist,141,update_playlist
i would like to add you say by lauren daigle to my playlist,141,update_playlist
please add this song to my jazz playlist,141,update_playlist
this song needs to be added to my reggae playlist,141,update_playlist
will you add what i'm listening to to my dinner playlist,141,update_playlist
"i want this song put on my ""kids"" playlist",141,update_playlist
will you add what i'm listening to to my bedroom playlist,141,update_playlist
add welcome to the jungle by guns n roses to my playlist,141,update_playlist
add yosemite to my rap playlist,141,update_playlist
will you add what i'm listening to to my road trip playlist,141,update_playlist
"make this song part of the ""kids"" playlist",141,update_playlist
append my playlist with smooth operator by sade,141,update_playlist
add this song to my dinner playlist,141,update_playlist
add this song to my slow jams playlist,141,update_playlist
can i increase my volume,150,change_volume
volume needs to be at 4,150,change_volume
go now and increase the volume to 4 please,150,change_volume
please your volume,150,change_volume
i'd like it to be louder,150,change_volume
i need it louder,150,change_volume
set volume higher,150,change_volume
please increase your volume,150,change_volume
the volume should be decreased,150,change_volume
go ahead and put the volume to 4,150,change_volume
"increase the volume level to 4, please",150,change_volume
please increase the volume to 4 please,150,change_volume
make the sound of my speaker greater,150,change_volume
would you please increase your speaker volume,150,change_volume
i would like the volume lower,150,change_volume
limit your volume,150,change_volume
raise the volume to 4 please,150,change_volume
raise volume,150,change_volume
please go ahead and increase your speaker volume,150,change_volume
the sound is too low,150,change_volume
can my volume be increased,150,change_volume
increase your voice box,150,change_volume
change the speaker volume to a louder one,150,change_volume
make the speakers louder,150,change_volume
lower the volume,150,change_volume
bring the sound up,150,change_volume
turn it up please,150,change_volume
turn volume to the number 4 setting,150,change_volume
decrease volume,150,change_volume
make the volume louder,150,change_volume
boost volume to 4,150,change_volume
please raise volume,150,change_volume
please speak louder,150,change_volume
turn down your volume,150,change_volume
i want to increase your volume,150,change_volume
you must increase the volume to 4 please,150,change_volume
increase the volume level to 4 now,150,change_volume
set the volume to 4 now,150,change_volume
i want you to your volume,150,change_volume
turn your voice box down,150,change_volume
please increase the volume to 4,150,change_volume
can you please turn the volume to 4,150,change_volume
can you rise the volume of this please,150,change_volume
please increase volume,150,change_volume
can you turn this down,150,change_volume
go ahead and your volume,150,change_volume
please make sure the volume is on 4,150,change_volume
turn the volume up,150,change_volume
i'd like to turn up the volume,150,change_volume
i want volume set to 4,150,change_volume
i must know my bank of america routing number,45,routing
please tell me the routing number for my wells fargo account,45,routing
what's the routing number for my current checking,45,routing
what's bank of america's routing number,45,routing
i want to know my routing number please,45,routing
will you tell me my routing number,45,routing
i need the routing number for my woodlawn account,45,routing
let me know what the routing number for my civista account is,45,routing
"ai, what is my chase checking routing number",45,routing
tell me my bank of america routing number,45,routing
how can i find my routing number for el dorado,45,routing
i need to know the routing number for my wells fargo account,45,routing
what's the routing number for my bank of america account,45,routing
could you tell me what my routing number from first republic is,45,routing
what's my bank routing number,45,routing
where do i find the routing number for chase,45,routing
what is my routing number for marine bank,45,routing
can you help me find my routing number from wells fargo,45,routing
tell me my bank routing number,45,routing
please find the routing number for chase bank accounts opened in new york,45,routing
where do i go to find my routing number for southpoint,45,routing
can i get the routing number for sunflower bank,45,routing
how do i find axos bank's routing number,45,routing
where do i find the routing number for usaa,45,routing
i need the routing number to my chase checking account,45,routing
can you tell me my routing number for summit,45,routing
display the routing number for account huntington,45,routing
where can i see the routing number for bmo,45,routing
what is my routing number on my checking account,45,routing
what's the routing number for my chase account,45,routing
what is the routing number on my first merit account,45,routing
what is my routing number,45,routing
